,HOOD,Neighbourhood Number,"Population, 2016",Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Highlight
0,Agincourt South-Malvern West,128,23757,31.34295,-110.9584,0,Construction & Landscaping,Electronics Store,Filipino Restaurant,Fast Food Restaurant,Farmers Market,Farm,Event Space,Egyptian Restaurant,Eastern European Restaurant,Dumpling Restaurant,Cafes/Bakeries/ Mediterranean
1,Bedford Park-Nortown,39,23236,43.18766,-79.53312,0,Other Repair Shop,Italian Restaurant,Yoga Studio,Distribution Center,Fast Food Restaurant,Farmers Market,Farm,Event Space,Electronics Store,Egyptian Restaurant,Cafes/Bakeries/ Mediterranean
5,Briar Hill-Belgravia,108,14257,43.699482,-79.454643,2,Coffee Shop,Antique Shop,Sandwich Place,Discount Store,Furniture / Home Store,Argentinian Restaurant,Bike Shop,Clothing Store,Paintball Field,Dog Run,"Services (Banking, Hotels, Shopping)"
6,Bridle Path-Sunnybrook-York Mills,41,9266,43.7309783,-79.37880320000001,0,Café,Coffee Shop,College Quad,Bookstore,Gym / Fitness Center,Restaurant,Bus Line,Farmers Market,Farm,Event Space,Cafes/Bakeries/ Mediterranean
7,Brookhaven-Amesbury,30,17757,43.698490142822294,-79.4912796020508,2,Coffee Shop,Dance Studio,Gym,Distribution Center,Fast Food Restaurant,Farmers Market,Farm,Event Space,Electronics Store,Egyptian Restaurant,"Services (Banking, Hotels, Shopping)"
8,Cabbagetown-South St.James Town,71,11669,43.66942,-79.37292,0,Café,Library,Diner,Restaurant,Caribbean Restaurant,Italian Restaurant,Market,Filipino Restaurant,Indian Restaurant,Egyptian Restaurant,Cafes/Bakeries/ Mediterranean
9,Clairlea-Birchmount,120,26984,43.716178894043,-79.2827529907227,2,Intersection,Coffee Shop,Soccer Field,Pub,Gym,General Entertainment,Discount Store,Farm,Event Space,Electronics Store,"Services (Banking, Hotels, Shopping)"
10,Dovercourt-Wallace Emerson-Juncti,93,36625,43.6654052734375,-79.43853759765629,1,Park,Middle Eastern Restaurant,Bakery,Pharmacy,Gym / Fitness Center,Grocery Store,Café,Bar,Bank,Farmers Market,Outdoors/Fitness/Fast Food
11,Downsview-Roding-CFB,26,35052,43.733715057373104,-79.4906845092773,1,Moving Target,Business Service,Park,Fast Food Restaurant,Farmers Market,Farm,Event Space,Electronics Store,Egyptian Restaurant,Eastern European Restaurant,Outdoors/Fitness/Fast Food
12,Eringate-Centennial-West Deane,11,18588,43.656642913818395,-79.584602355957,2,Baseball Field,Pizza Place,Coffee Shop,Hockey Arena,Chinese Restaurant,Stadium,Ski Chalet,Park,Ski Area,Distribution Center,"Services (Banking, Hotels, Shopping)"
13,Greenwood-Coxwell,65,14417,43.6740188598633,-79.3244857788086,0,Brewery,Indian Restaurant,Café,Soccer Field,Egyptian Restaurant,Asian Restaurant,Bar,Pakistani Restaurant,Yoga Studio,Farmers Market,Cafes/Bakeries/ Mediterranean
14,Humbermede,22,15545,43.7402267456055,-79.5397872924805,0,Café,Latin American Restaurant,Grocery Store,Discount Store,Fast Food Restaurant,Farmers Market,Farm,Event Space,Electronics Store,Egyptian Restaurant,Cafes/Bakeries/ Mediterranean
15,Humewood-Cedarvale,106,14365,43.69010925292971,-79.4276351928711,0,Hockey Arena,Convenience Store,Soccer Stadium,Trail,Field,Distribution Center,Farmers Market,Farm,Event Space,Electronics Store,Cafes/Bakeries/ Mediterranean
16,Islington-City Centre West,14,43965,43.63871765136721,-79.5476150512695,2,Pizza Place,Yoga Studio,Distribution Center,Fast Food Restaurant,Farmers Market,Farm,Event Space,Electronics Store,Egyptian Restaurant,Eastern European Restaurant,"Services (Banking, Hotels, Shopping)"
17,Kingsview Village-The Westway,6,22000,43.6978988647461,-79.5434799194336,2,Coffee Shop,Grocery Store,Bus Line,Yoga Studio,Distribution Center,Farmers Market,Farm,Event Space,Electronics Store,Egyptian Restaurant,"Services (Banking, Hotels, Shopping)"
18,Lambton Baby Point,114,7985,43.6537284851074,-79.49449157714841,1,Park,Playground,American Restaurant,Metro Station,Spa,Distribution Center,Farmers Market,Farm,Event Space,Electronics Store,Outdoors/Fitness/Fast Food
19,Mimico,17,33964,43.614341735839794,-79.49766540527341,0,Convenience Store,Skating Rink,Grocery Store,Bar,Bakery,Dog Run,Fast Food Restaurant,Farmers Market,Farm,Event Space,Cafes/Bakeries/ Mediterranean
20,Mount Olive-Silverstone-Jamestown,2,32954,43.744873046875,-79.5930633544922,2,Coffee Shop,Grocery Store,Discount Store,Sandwich Place,Pizza Place,Cosmetics Shop,Convenience Store,Farm,Event Space,Electronics Store,"Services (Banking, Hotels, Shopping)"
21,Parkwoods-Donalda,45,34805,43.7539558410645,-79.32958984375,1,Convenience Store,Food & Drink Shop,Park,Distribution Center,Fast Food Restaurant,Farmers Market,Farm,Event Space,Electronics Store,Egyptian Restaurant,Outdoors/Fitness/Fast Food
22,Playter Estates-Danforth,67,7804,43.6794357299805,-79.35504150390629,0,Yoga Studio,Grocery Store,Café,Pub,Italian Restaurant,Greek Restaurant,Restaurant,Cosmetics Shop,Ice Cream Shop,Spa,Cafes/Bakeries/ Mediterranean
23,Princess-Rosethorn,10,11051,43.6684989929199,-79.5470275878906,0,Construction & Landscaping,Gym,Discount Store,Fast Food Restaurant,Farmers Market,Farm,Event Space,Electronics Store,Egyptian Restaurant,Eastern European Restaurant,Cafes/Bakeries/ Mediterranean
24,Rockcliffe-Smythe,111,22246,43.674251556396506,-79.49488830566409,1,Pizza Place,Park,Convenience Store,Coffee Shop,Beer Store,Supermarket,Asian Restaurant,Bus Line,Dog Run,Farm,Outdoors/Fitness/Fast Food
25,Thistletown-Beaumond Heights,3,10360,43.7373847961426,-79.5654220581055,2,Indian Restaurant,Bank,Pizza Place,Coffee Shop,Ice Cream Shop,Pharmacy,Caribbean Restaurant,Distribution Center,Farmers Market,Farm,"Services (Banking, Hotels, Shopping)"
